0.001,502.5132059
0.002,505.0260148
0.003,507.5380302
0.004,510.0488552
0.005,512.5580933
0.006,515.0653484
0.007,517.5702245
0.008,520.0723261
0.009,522.571258
0.01,525.0666257
0.011,527.558035
0.012,530.0450926
0.013,532.5274058
0.014,535.0045825
0.015,537.4762316
0.016,539.9419628
0.017,542.4013867
0.018,544.854115
0.019,547.2997602
0.02,549.7379363
0.021,552.1682582
0.022,554.5903422
0.023,557.0038057
0.024,559.4082677
0.025,561.8033484
0.026,564.1886697
0.027,566.5638549
0.028,568.9285288
0.029,571.2823182
0.03,573.6248513
0.031,575.9557582
0.032,578.2746709
0.033,580.581223
0.034,582.8750505
0.035,585.1557911
0.036,587.4230846
0.037,589.676573
0.038,591.9159005
0.039,594.1407134
0.04,596.3506604
0.041,598.5453926
0.042,600.7245633
0.043,602.8878285
0.044,605.0348465
0.045,607.1652783
0.046,609.2787876
0.047,611.3750404
0.048,613.4537059
0.049,615.5144558
0.05,617.5569646
0.051,619.5809098
0.052,621.5859719
0.053,623.5718342
0.054,625.538183
0.055,627.484708
0.056,629.4111017
0.057,631.3170599
0.058,633.2022816
0.059,635.0664693
0.06,636.9093283
0.061,638.7305679
0.062,640.5299003
0.063,642.3070415
0.064,644.0617107
0.065,645.793631
0.066,647.5025289
0.067,649.1881344
0.068,650.8501814
0.069,652.4884074
0.07,654.1025538
0.071,655.6923657
0.072,657.257592
0.073,658.7979855
0.074,660.313303
0.075,661.8033053
0.076,663.267757
0.077,664.7064268
0.078,666.1190876
0.079,667.5055164
0.08,668.8654941
0.081,670.1988061
0.082,671.5052417
0.083,672.7845947
0.084,674.0366631
0.085,675.2612491
0.086,676.4581594
0.087,677.6272049
0.088,678.7682011
0.089,679.8809677
0.09,680.9653291
0.091,682.0211141
0.092,683.0481558
0.093,684.0462922
0.094,685.0153656
0.095,685.9552229
0.096,686.8657159
0.097,687.7467006
0.098,688.5980379
0.099,689.4195935
0.1,690.2112377
0.101,690.9728453
0.102,691.7042961
0.103,692.4054746
0.104,693.0762702
0.105,693.7165768
0.106,694.3262934
0.107,694.9053236
0.108,695.4535761
0.109,695.9709643
0.11,696.4574064
0.111,696.9128257
0.112,697.3371502
0.113,697.7303129
0.114,698.0922518
0.115,698.4229097
0.116,698.7222343
0.117,698.9901785
0.118,699.2266998
0.119,699.431761
0.12,699.6053297
0.121,699.7473784
0.122,699.8578848
0.123,699.9368313
0.124,699.9842055
0.125,700
0.126,699.9842122
0.127,699.9368446
0.128,699.8579048
0.129,699.7474051
0.13,699.605363
0.131,699.431801
0.132,699.2267464
0.133,698.9902317
0.134,698.7222942
0.135,698.4229762
0.136,698.0923249
0.137,697.7303926
0.138,697.3372365
0.139,696.9129186
0.14,696.4575058
0.141,695.9710703
0.142,695.4536886
0.143,694.9054426
0.144,694.3264189
0.145,693.7167088
0.146,693.0764086
0.147,692.4056195
0.148,691.7044474
0.149,690.9730029
0.15,690.2114017
0.151,689.4197639
0.152,688.5982146
0.153,687.7468835
0.154,686.865905
0.155,685.9554183
0.156,685.0155671
0.157,684.0464999
